subject_id	Abbreviation	Parent	WB or PBMC	subject_label	profile_signature
SOULCAP:SC000001	NK			Natural Killer Cell	77102d43f9abced8b3efd2e11ad6d91a492bf101ebdb061a1fd67aaaa275c58c
SOULCAP:SC000002	NK2	NK		Natural Killer Cell 2	a9e05f94e58b7fb289cf2f39044e4e9725e26448a3cd5681102b4c6d61ce1b72
SOULCAP:SC000003	CTNK	NK		Cytotoxice Natural Killer Cell	0c64cf7d98b4bdcf4e679fa78c81aaf8ca3f51838a33d7de99e5082953f626e4
SOULCAP:SC000004	NK1	CTNK		Natural Killer Cell 1	f05210befba803c20f60f0d68ce4bb9628c48dcb56332edbfcec30611126dea5
SOULCAP:SC000005	NK3	CTNK		Natural Killer Cell 3	6a604e667984630b654916095b7e5468c3ffd2c44e5e8cdc480cec67437b2161
SOULCAP:SC000006	ILCp			Innate Lymphoid Cell Progenitor	03443463d5f102ae603565b7efde6d5b2de1f1f9c96016ecffdf886dd673995e
SOULCAP:SC000007	ILC			Innate Lymphoid Cell  	2382ffa8b1693854f19ee2104691b9f0a0c23f6e976b56d1c507692da08d12fc
SOULCAP:SC000008	ILC1	ILC		Innate Lymphoid Cell 1	0a749f50550a7edd93adce27f94a7302c0dbc59107a2eaae2cf44d03133a6568
SOULCAP:SC000009	ILC2	ILC		Innate Lymphoid Cell 2	735345c450434e1f351231103ee6c81f7e0ba186fb9ce20230642a95b44c7a23
SOULCAP:SC000010	ILC3	ILC		Innate Lymphoid Cell 3	60bbd7b2b4b6bd74a25764ca423e651165008b0e6d59552268caf45876ec18f8
SOULCAP:SC000011	cDC			Conventional Dendritic Cell	334dd74448fec5173d10655dacd2b628cd103b346f3c6a7b37b061edc4ac9fa6
SOULCAP:SC000012	cDC1	DCM		Conventional Dendritic Cell 1	26b00ac7a3eecc08344c5062dce97e2ccfd3a591c8a347be9f155b32e0128b25
SOULCAP:SC000013	cDC2	DCM		Conventional Dendritic Cell 2	3e6dc30f6e3ac086a6d06bc8b78c27895cba0f8f343c29a212dd2cb02d6dddee
SOULCAP:SC000014	pDC		PBMC	Peripheral Dendritic Cell	90a3916e208c3f3f041f7567896fcd45d341337251da243d921d8127b8562d71
SOULCAP:SC000015	Basophil		PBMC	Basophil	6ae772d0622c8988d15f047ef4570ab309a99edce893328ef9c815aec7e0c1b3
SOULCAP:SC000016	Basophil		WB	Basophil	b5e758e040d00ac23abae3ebc35dddae9abe67be32d404eb68c7345159c4132c
SOULCAP:SC000017	Mono		WB and PBMC	Monocyte	84c375696035c6d7c9de16751255259e8e834ac9287f201f13ed821a7bfdda5d
SOULCAP:SC000018	CMo	Mono	WB and PBMC	Classical Monocyte	4c9436c977492d1ccea66ec05a22925897e6235162061f41dbf8e4e09ac940e3
SOULCAP:SC000019	NCMo	Mono	WB and PBMC	Non-classical Monocyte	2ccb34f2fc50e1126131986d487fe42c67bdcacc16330874b67750b017cbeab0
SOULCAP:SC000020	IntMo	Mono	WB and PBMC	Intermediate Monocyte	aa79f8b8798d9b79b35cd87edef7133ca5b824636f3f05d0dfe1b990d87d97c3
SOULCAP:SC000021	Neut		WB and PBMC	Neutrophil	6a7f385e7dd5e22ba96aeedb4aa46fb2e6ab411bc046567fac5d0aeb3ea7f587
SOULCAP:SC000022	Eos		WB	Eosinophil	874205816800964db5c591f96652bdac9d28acef6907b20275b346c4e2cc3524
SOULCAP:SC000023	B cell			B cell	a0300906ff3acd98f58b8ebb9443d973b9710447d8ab4736aa111ae172b1df78
SOULCAP:SC000024	ASC			Antibody Secreting Cell	a80b760b7494b5ccacbfeb5822368766f2b27665ee08fea9e8e1f9c303a76c79
SOULCAP:SC000025	PB	ASC		Plasmablast	9863d8716862be947cf0fcd9d032cfb66cc1eb2aa59415522dc05bae36ac21f0
SOULCAP:SC000026	PC	ASC		Plasma Cell	6e574209001a2ef071b4ee9221b9c2ac7c15348cb319df7b0eab050ed1ce33d4
SOULCAP:SC000027	Transitional			Transitional B cell	6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167
SOULCAP:SC000028	T1/T2 B			Transitonal B cell 1 and 2	8e6bd76f1ceb75aafb12ce1c9f1f0a727efdb0db0ab1bd88934207cb56b8d23e
SOULCAP:SC000029	Mature B			Mature B cell	f14a51d3dd6628aedda0566ee1eb97b43ac20fa39c7dd4821b092eb3c2633498
SOULCAP:SC000030	T3	Mature B		Transitional B cell 3	c7d5b803f4b7ec0ad269623f0df9add64154c59779b0c4589c88e925db6b299c
SOULCAP:SC000031	Naive	Mature B		Naive B cell	7a7186381e27aa134e9a0468d8655160824ee7beb4a772b89d7bcc28f7a1f5bd
SOULCAP:SC000032	BDN	Mature B		Double Negative B cells	7792df94242c9d36b2438d1ebfd2bc5b87024019c954e14608be41a8db701429
SOULCAP:SC000033	BDN1	BDN		Double Negative B cell 1	c62eca580cc03fcf60bd587054596958b6948bc819ef0177a57a30bf92292390
SOULCAP:SC000034	BDN2	BDN		Double Negative B cell 2	8dae6b711327c193f61b8478bc272a1bcf40c98a9b4fa7863f24744ac68f9d94
SOULCAP:SC000035	BDN3	BDN		Double Negative B cell 3	c32b5275dd23cbfb0e894c71d770a701e441b3f9b64a58505bb2e877432ff311
SOULCAP:SC000036	BDN4	BDN		Double Negative B cell 4	826848dc5698b7889f50a91571479d4d8df3b69818c6e35d375cb0cbf9c78ff5
SOULCAP:SC000037	Bmem			Memory B cell	34bdbd71e619cf5a9d0d1d558f151d94f32f2838461146c80efc3b99a38a1d39
SOULCAP:SC000038	IgD only	Bmem		IgD only Memory B cell	ac01542f5ac73af5b48d1cd4d8dcdd481745cb93002431ff3aca519330b235da
SOULCAP:SC000039	Unswitched	Bmem		Unswitched Memory B cell	be597df8551f6a9089ef1a7d19df1001c94b871a2b75c8b38ba1eaff5e4605aa
SOULCAP:SC000040	IgM only	Bmem		IgM-only Memory B cell	d09f52edd2dab52b6ecd601096f76369bcfacdb9bd6747950ef058956b2f8935
SOULCAP:SC000041	Switched	Bmem		Switched Memory B cell	55d0f11894cc9063126bdd37e0bf7d45ec45f7646f762dc1831df0dec508e717
SOULCAP:SC000042	IgA	Switched		IgA-Class Switched B cell	f0b226f865a080a59df267e9661a46a0ac6870a0c085d78e22f6602106c5c636
SOULCAP:SC000043	IgG	Switched		IgG-Class Switched B cell	9e0fad56a38767dcde18d8731a8fe7a614d906041b2d9a458862676a783d4a10
SOULCAP:SC000044	IgE	Switched		IgE-Class Switched B cell	9ca73feda9e46115c036f84fd80769befad7829cdc6ed96a52aa88fca4f7a59e
SOULCAP:SC000045	T cell			T lymphocyte	a90c3eddb386b77ec690a7f2a2eb97716a7199b789c245863a4c0041e96e17b1
SOULCAP:SC000046	CD56+ T cell	T cell		CD56+ T cell	63ee8683e94c984697c75d473a3e9d0405de2bafb176fbbb7535c16485178719
SOULCAP:SC000047	CD56+ CD4 T cell	CD4+ T cell		CD56+ CD4 T cell	84b80ceffc55fff7fe754debacc9f78cc653222b608785feba0f66708b01dde4
SOULCAP:SC000048	CD56+ CD8 T cell	CD8+ T cell		CD56+ CD8 T cell	34a6e8b963f5282eb1065224d59a75e84c202dad24e1ddc0dd17b8d0ab024a83
SOULCAP:SC000049	CD56+ TCRab	TCRab		CD56+ alpha/beta T cell	bdfd521f1aa55093bb7d384b33300ba798a6fdef632c1388605366eb409de274
SOULCAP:SC000050	CD56+ CD4+ TCRab	CD4+ TCRab T cell		CD56+ CD4+ alpha/beta T cell	9a4ced986acc32ace2a83492eab90c58f5ae9c0441567aca95f4e28c9d3fbcf9
SOULCAP:SC000051	CD56+ CD8+ TCRab	CD8+ TCRab T cell		CD56+ CD8+ alpha/beta T cell	b2f803379d1195f6e331538ba442ab35f72c2a6789cc87a8721166f35ede43c8
SOULCAP:SC000052	CD56+ CD4+/CD8+ TCRab	CD4+/CD8+ TCRab T cell		CD56+ CD4+/CD8+ alpha/beta T cell	6e603f37397e663e6aafe3714835bd1ae95ffe1e303019fa9fb4da5fad0c5e10
SOULCAP:SC000053	CD56+ CD4-/CD8- TCRab	CD4-/CD8- TCRab T cell		CD56+ CD4-/CD8- alpha/beta T cell	42bb527a1f37479462be10ffb3c00e7bcf5e6d45a7e744307c7c22b4c1bc48cc
SOULCAP:SC000054	CD56+ TCRgd	TCRgd		CD56+ gamma/delta T cell	94da794ef5aaaada95ca5d1821c8b6dcc741a4137fd1b37f83b530f94fbc94b6
SOULCAP:SC000055	CD56+ CD4+ TCRgd	CD4+ TCRgd T cell		CD56+ CD4+ gamma/delta T cell	b454579574584543682a9288b97f86311194588e3f7f593dd179fd79f7981201
SOULCAP:SC000056	CD56+ CD8+ TCRgd	CD8+ TCRgd T cell		CD56+ CD8+ gamma/delta T cell	2d990bb85463e1c27e7bc7086c441b47432e2da0799105df8153600049d35681
SOULCAP:SC000057	CD56+ CD4+/CD8+ TCRgd	CD4+/CD8+ TCRgd		CD56+ CD4+/CD8+ gamma/delta T cell	38983c8b8783e6204c78e6008e38c21e4abaf13295e847719bf6ac9fa73c585f
SOULCAP:SC000058	CD56+ CD8-/CD8- TCRgd	CD4-/CD8- TCRgd		CD56+ CD8-/CD8- gamma/delta T cell	51660216e5f35ba2abe0ff0944ef9899083a81d9233c1b018922ff8d00e6734a
SOULCAP:SC000059	iNKT	T cell		Invariant Natural Killer T cell	60d4418f4342fb333e84d3d92b22dabdede98114b0a29f3c3f48abfab7e76e12
SOULCAP:SC000060	TCRab	T cell		alpha/beta T cell	ba4169b61b018b402de9c4bdf1a7567c89a69d002b6069e3dcd2040bf2174626
SOULCAP:SC000061	TCRgd	T cell		gamma/delta T cell	d7791919e73dbff413ca7cdf0c8b00616465d67ed2a7b2301cb1a628e972622e
SOULCAP:SC000062	CD4+ T cell	T cell		alpha/beta and gamma/delta CD4+ T cells	13a042caf6eaa90447c12e475dcdeb8c94ab2c34f1847f43c379e4aff9aa0435
SOULCAP:SC000063	CD8+ T cell	T cell		alpha/beta and gamma/delta CD8+ T cells	ee71924d4eb86799cfb40fcc026874f16ac52b1df80dfa5bc25d00c7ef1bf019
SOULCAP:SC000064	CD4+/CD8+ T cell	T cell		alpha/beta and gamma/delta CD4+ and CD8+ T cells	1a94242804d7d285d6e99a84f940c5920cba588e703bc9807bd7066e7a931273
SOULCAP:SC000065	CD4-/CD8- T cell	T cell		alpha/beta and gamma/delta CD4- and CD8- T cells	81d30ff7dab4278ec39ef4008e2e6cb051865ff423a24182495de6f6150eff6e
SOULCAP:SC000066	CD4+ TCRab T cell	TCRab		CD4+ alpha/beta T cell	3509d97ed33d109d83671dd2292c0945863b4eeead30a216c95cfb9c41c4a5f9
SOULCAP:SC000067	CD8+ TCRab T cell	TCRab		CD8+ alpha/beta T cell	5f511184f5b3fb48855d4ce1b1ed1777e79ca590353b921e6c8b66c7e79e2c17
SOULCAP:SC000068	CD4+/CD8+ TCRab T cell	TCRab		CD4+ and CD8+ alpha/beta T cell	03c69fac8ec012810b035a54f82237833b6f4299be38ce9139c761ca28f65d09
SOULCAP:SC000069	CD4-/CD8- TCRab T cell	TCRab		CD4- and CD8- alpha/beta T cell	147cd19bfa49697c170198087716cdfac8d82d0db6688150b183bb8e9c0340e5
SOULCAP:SC000070	CD4+ TCRgd T cell	TCRgd		CD4+ gamma/delta T cell	737860c20417038a9c5b8c687ec9c6acfc02afd4216730694025bb805010eae3
SOULCAP:SC000071	CD8+ TCRgd T cell	TCRgd		CD8+ gamma/delta T cell	4bdfff88d621b6e25864f108e587296403ce0eb3f750a245df9360950cf11c2a
SOULCAP:SC000072	CD4+/CD8+ TCRgd	TCRgd		CD4+/CD8+ gamma/delta T cell	133eef6f9076e3eb898ce7cacf7933f562be6fbd2f02d633a0eabe79675295e5
